Reviews,Recommendation
"I bought this in replacement of an old model of model that my father was wearing. Unfortunately, he does not remember the email and the password for the old model, so I cannot transfer the thousands of books he has to the new Kindle. Always write this important information somewhere, it will make life easier!",Yes
"New Kindle Voyage is a nice upgrade of the basic model. Lightful Elector E with a brighter light. Until here, everything is fine.",No
"Having it for a while now. A little unusual to press so hard to change the page, but now start getting used to it.",No
"I find myself reading even more now that I have the Kindle Voyage. He is easy to hold and maneuver, perfect, small and elegant. The shooting of the page is easy with a hand and the back light makes reading in any frame a pleasure.",Yes
"I appreciated the original Kindle (with keyboard) for many years, and it was finally time to upgrade. The light is great and I use the buttons on the page by pressing exclusively. Very satisfied with the size, weight and appearance of this product.",Yes
"Advantages - Light response of compact light of the touch screen - difficult to navigate. I use my old Kindle with buttons to cover. This Kindle can be frustrating by its too sensitive touch screen.In addition to a very good reader, but no need to buy if it is satisfied with the Paperwhite versions. For someone new to Kindle, this is worth the price as long as I have another electronic device to browse the Kindle site.",No
Ergonomic and easy to get new books. Magnify it is full of books and I have to stop storing them. And I don't remember what I read years ago. This device helps.,Yes
"I had both readers of Kindle and Nook e-ink older as well as the larger colored screen versions and this new is the best to date. Very light, portable, the battery lasts a long time. The screen is much better than the old Kindle E-Ink. I recently crossed the 4th book of Game of Thrones, and it was an easy reading on the Kindle.Teenager also likes to read on the Kindle as well as ordinary books.",Yes
"The automatic light setting is pretty cool, but I find myself accidentally covering the sensor that really throws it.I like to be able to press the buttons on each side instead of touching the screen. I also appreciate the flat surface, it does not seem to attract so much dust in the corners like my other Kindles.",Yes
I love the new look and the feeling of my new Kindle trip. I particularly like the way it automatically adjusts reading light.,Yes
"This new Kindle is so much easier to read than my second generation Kindle that I had for years. It is faster and the light of the back-light can be easily adjusted to get the right amount of light for your reading pleasure. If you like books, you should get it.",Yes
"To advance the page or return to the previous one, press lightly on a pair of gray lines and points on each side of the front telescope. It is pleasant to see the transition. This Kindle is readable in all day. There is even an optional ""night light"" mode which gradually modifies the luminosity. Finally, the power button was moved here from the lower edge.",No
"It is certainly an improvement compared to the white paper, however, is not worth the bonus. Well that faster than Paperwhite, it is still much less reactive than an iPad, it is very difficult to type it (during research or sharing on Goodreadds for example).I like the navigation by the screen, but I am not crazy about it. I don't know what would be a better alternative, but they are not so comfortable when they read in bed. I assume that a boost would always be better if the device responded more well.I had already lost white paper and I thought I would better buy the last Kindle now.When I bought the paper paper, it is an experience, because I am not a passionate reader and I have trouble reading the paper book since I was surrounded by gadgets. In fact, I read a few books on Paperwhite and I appreciated it. So when I lost it (I equalized it), I spoil because I had little books that I wanted to read.If it would be a price of at least $ 50, I think it would be a proposal for 5 stars. As is now, it is a little too expensive for the scope and the gaps. More than $ 100, it would be a low price.",No
"I bought this reader for a gift for my mother. She loves it to take her book with her in a smaller form, likes what he looks like paper pages.",Yes
"I bought this for my wife as a birthday present. She really appreciated it. It is easy for her eyes, its light weight and keeps a god. It is easy to use, but it already has experience using the original Kindle.",Yes
"I know that there is a separate product page for the coverage of the origami, but it is necessary to mention here because it is the ""official"" cover. The Origami cover is ugly and I was skeptical, but I really like it. It is weird because it opens on top like a notebook. It makes it more comfortable when the cover is open, in my opinion.The trip when it is attached to this cover, and it is generally more comfortable to use. The origami part of the case also works very well ... It is blocked vertically or horizontally (if you lie down and read, it's incredible).",No
"Originally, I bought the white paper and after a week of this, I decided to go to the trip for a few reasons. 1) Maybe my phone made me lazy but I got used to automatic shine. This is something I don't even think about at all ... until you have to adjust it manually. The trip is currently the only Kindle that automatically adjusts the brightness of the screen.This one, and these people tend to say that it is touched or missed. I humbly support that it is a ""intelligent"" self-brilliance that adapts to your preferences at certain light levels. By example, if you are in a weakly lit room and that the screen is too brilliant for you there, and that you manually refuse a few notches the next time, the KindlePreference for brightness of the screen was at this level of light and adjusted. I had no problem with this functionality and I consider it as the most essential functionality of the Kindle. It is shiny. 2) page turn haptic buttons. This are great and allow me not to need to move my hand to turn a page, I just want them to have been placed slightly higher on the device becauselower than I would have normally held it to the device. It is very pleasant to have the possibility of not needing to slide the page to turn it. 3) The Flush screen. It makes a big difference for me - I was not a fan of the screen built up on white paper and even the corner has a hunting screen! Amazon must really introduce waterproof stupids and a hunting screen will also be necessary.To be slightly more thoughtful than white paper and I heard (if it's true or not), it is because the trip has a glass screen, while the white paper has plastic? I'm not sure, but the only time I notice, is it when I read the sun is directly behind me. I may have to tilt the 5 degree screen in any direction and it is easily readable again.White. This also allows the device to be slightly lighter than white paper, which is always a good thing.To summarize - this is the only Kindle to present the automatic control function (even the oasis does not have it - probably to save on weight) and in my opinion, a worthy of upgrade on white paper.",No
"This reader is great, I started to read more now than this Kindle than when I read the pocket books. If you are torn to buy it for yourself or for someone else, I can almost guarantee that anyone loves it. With activated dictionaries and radiographs, I am finally able to fight against books with a list of heavy characters like Game of Thrones.Friendly.Spend for new books in excitement when you connect to Amazon with him.",No
"I find it fun to ask Alexa's questions and timeries. I don't like the messaging part that does not integrate into my iPhone, but it has impressive notifications and synchronizes with my Google calendar. I think it was an excellent purchase.",Yes
I ordered the first generation Amazon echo which was not easy to find elsewhere. I love it. The sound quality is great! I have it in my living room to play music that I can hear in all my bedrooms at the bottom. I could not be happy!,Yes
"This HD 8 fire is my first device of this type. I find it easy to use and very responsive.The tactile screen control should be used because I often click on the bad part near the screen and that I have to go back. The Vocal Alexa assistant surprised me when she announced a person on the speaker. (I closed it since I am not a fan of conversation with computers).My main complaint is that it comes with nothing but a charger and a cable. Words without words and pictorial starts were primitive and vague. There is no instruction on how to use this applicant; no book sample to test and familiarize yourself. There is a help function that fulfills functionality but not in depth and encryption.The battery. The cable can be used for a Windows PC and transfer files (books, music, images, etc.). I would also recommend buying a protective case so that it is never accidentally lowered.",Yes
"The clarity of the screen and the text behind makes it an improvement of my old tablet. I can now read this in low light and also enjoy the color. I appreciate my new Kindle, but it has presented some challenges in its configuration. I would recommend help in the store to help you start.",Yes
"Difficult to use, no way to delete things from the screen. Being a better manual. Most books are impossible if they are reference books.",No
"If the announcements do not disturb you, it can be a decent device. Getting it for my child and it was charged with so much spam, it continued to load it, which makes it slow and slow. Plus, carrash loading makes navigation for children difficult, not very suitable for children! Oh, you can pay $ 15 to delete the announcements, but that will not delete them all.",No
"I thought it would be perfect for my two children. The case, the guarantee and the passage to download unlimited applications seemed excellent. However, the pad is sometimes insensitive and incorrect - which can be frustrating for children. The affair is a little too large. And this can be confusing for children who want to push an icon to play, but it is downloaded.",No
"I wanted a tablet which was a decent screen size, which could play games, which could broadcast films (Netflix, Prime), which could check the emails, which could Skype, etc.While remaining affordable (less than $ 100). I have not yet seen a tablet in this price range which can do all these things effortlessly, while remaining at this affordable. This tablet has manipulated everything I launch and without hiccups. I had the fire tablet $ cheaper before it, and this thing was slow to treat the most basic tasks.Dar can do it.",No
Meh.ça Mars. I find it difficult to navigate. I also have an iPad Mini. It seems to be less intuitive than the iPad.,No
I love to use my new tablet (Amazon Fire). Facile to use.,Yes
Large tablet for Easy Easy Easy configuration and data application and transfer from the original fire.,Yes
"Excellent product.mon grands love it. Rut, easy to use and yet difficult enough to learn at the same time",No
"I started with the 7 ""Little Brother and I really liked it, so I decided to go to the larger model. I mainly use it as an electronic reader and for some surfs and Facebook net. Wifi works very well and it is ready to access and use. Do not buy this unit if you want cells (4G) on the internet. I really don't want the unit.",No
"My husband and I bought the new Amazon Kindle Fire HD 8 Tablets for our 16 year old son and our 12 year old daughter for Christmas. I have an old version 7 in myself, so I already knew that we were buying a lasting tablet. The new ones are great and they had them in color, so very easy to distinguish what we bought during the Black Friday and obtained them for $ 30 discount.Many places before and. They are light and the screen is large enough to watch movies, play games, do homework and video calls from friends and family out of the city. They seem to have a lot of space and pleasant to know that we can add memory if we need it. Lestiches keep the daily life of the accidental kicks of children and their 3 year old sister lol.New tablet for themselves or children. will buy again in the future if they never work quickly.",Yes
"This is the best tablet for a children's tablet. The changed Android operating system with the integrated Amazon features is excellent. I review what it is, a children's tablet. It has a 1.3 gigahertz processor, which means such a small device decently. Once, if you bought it for a camera, you are wrong, but for a child from 2 years to 12 years, it'sis a bit slow on more detailed games. Our 2 year old child does not play heavy graphics games that occupy the processor and the GPU.RUBBER for the protection of droplets and she launched it several times with enthusiasm and he did his job. He has neither GPS nor radio resources, but he has bluetooth and Wi-Fi.",No
"I had Microsoft Surface, unfortunately, his daughter fell and cracked, which needed a new tablet. So he returned to a laptop for work, did not need another surface. Considered on 8 ""Kindle HD on Samsung and iPad Mini because of the value. I only use for social networks, emails, games, internet research.Problem with good WiFi connection.",Yes
My 3 year old child loves his new tablet and my wife and I are happy to recover ours. Very simple use. All his favorite applications on it.,Yes
"I am new in tablets, but it is quite easy to understand and use.There are a decent amount of applications at start -up, which can be good and bad.",Yes
I have that for my mother. Decent compressed not heavy and good pirce. She loves it.,No
"Amazon's devices are improving more and more with each version. I had the original Kindle Fire and it is by no means a replacement of Apple iPad, but what it does better than anyone. It is a perfect and perfect start -up tablet for a child. The price prevents you from worrying about the drops and the interface is easy to use.",Yes
"This is the second fire tablet that I bought. The first I came back after I could not load YouTube on the tablet. Amazon on Android was too hostile to make it work. With this new tablet, Amazon heard my concern and now I appreciate this tablet. It is well built for a device of less than $ 100, but will not resist many abuse.",Yes
"improved on HD 7. Things have settled differently but not difficult to learn. As a little heavier than the 7, so reading in bed a little more difficult",No
It is small enough to wear your handbag and open a whole new world while waiting for the appointments.,Yes
"Beautiful article, and cute. The tablet is difficult to navigate",No
"Works well on wifi, if not a little slow. However, follow it. For the price is good.",No
It is difficult to navigate and not friendly.,No
"So I bought these little guys these tablets ... so that I could resume my iPad. I love the free time application but who could have imagined that they would not play Netflix !! then now ... I got money for the tablet and I still have not my iPad ... And yes, I called Amazon on several occasions ... They work after the correction, but the next time they are going to use them,is forcibly by stopping the application, cleaning the cache then doing a little restart ... So you have to wait to restart Netflix ... Oh and sometimes you have to make moments before that before it works ... if it works absolutely ...",No
"If you are looking for a cheap tablet just for navigation on the basic web / shopping / etc., I do not know that you can get a better deal. However, that is almost everything you can do. We have discovered the hard one that the fire (which we bought to replace a poorly placed iPad, so maybe we were simply spoiled) is quite limited in terms of applications that you can download.Google and many of the standard applications that are generally available on Android or Apple Market. I love Amazon himself and I do not have major problems with the product I obtained for the price I paid, I will simply not go on the cheap course in the future. The hindsight being 20/20, I should have spent money to get a new iPad because it was what we were used to.",No
"I have a 4 year old boy and a 6 year old girl and a 12 year old boy, no cracks or broken, but yes, they did not drop but no cracks but quite incredible when they drop her on hardwood floors and are still not broken !!",No
It is very durable for a young child. It is very easy to use even for my 2 year old granddaughter.,Yes
"I was moving and I didn't want to get a new laptop and I found this Amazon fire at a good price. I was very satisfied. If you are looking for a cheap tablet easy to use, do not look any further.",Yes
"I bought this for my mother who is 93 years old and her other deceased fire. It was very easy for me to configure her and transfer the information from her account. She really liked to use it and even started using new applications. In the reason for her age and my not living, it would be good to have a printed copy of the way of doing things.",Yes
I bought this for my young granddaughter. It is so easy for her to use it. We can control the content. She learns her colors and her alphabet using this tablet.Beaucoucou of free content. It was easy to connect to the WiFi at home. Battery autonomy.,Yes
I bought that for my mother for Christmas. She is not the most technological advanced individual. She really wanted a tablet and this one works very well and is super easy to use. I went to program it for her and she insisted to do it herself. She could not have a problem!,No
Always learn new things on my tablet. Very easy to use .. Perfect size.,Yes
"My daughter absolutely likes her new fire, a lot of space, easy to install and many applications",Yes
"Very easy to use for our seven -year -old child. I will probably upgrade in a year to something with more capacities and more memory. It had an iPad (lost) and lack, but it is compromise until we saw more responsibilities in the way in which it is treated.",No
"I bought this in replacement of my child's iPad. I took it a little time to learn the new operating system, but once it understood, it was quite easy. Light of content and excellent at the price.",Yes
"Not only for children, for the disputed tablet (me), I find it easy to work with",Yes
"I pushed the purchase of a tablet because all the iPads that I tried with friends were hypersensitive, which makes it difficult for me to navigate easily. This is the bomb - I am 68 years old and not a technician but rather intelligent - this Kindle Fire is a perfect fit for me and does everything I want to do and more with high speed and a wonderful resolution.The late Kindle will provide me - so far, each step has been a breeze. I love it.",No
"This tablet is designed mainly to sell, distribute and store the media purchased in the Amazon.com product range, that is to say Kindle electronic books, visualized or stored films from their online movie streaming service, etc., and it does it very well.Very clear screen, good sound, good life of the battery and materials of decent components. It uses their version of the Android operating system that they call the Fire OS which is decently reactive and intuitive enough to use - Know that you cannot install or execute most of the applications purchased in the Google Play Store, but that you have to count on the own Amazon store which is decent, but not as extensive.",No
"I bought two Christmas gifts for my children. I had research on tablets adapted to children with robust orders to keep them away from unwanted content. I found edition 7 ""Fire Kids, but after examining specifications and criticisms, I found myself inserted. I was particularly interested in the free application, so I did research on this subject and I noticed that it was available on other models of Firealso.DoncThe only activities that can be done are the ones I approach, but if I wish, I can take one or another and relax them to access Netflix / Amazon or any Amazon. Installé of 128 GB of SD cards.",Yes
"With the Amazon Fire tablet, you get everything you expect in a high -end tablet for less than $ 100.It's hard to beat!",No
"I bought this to replace a Tab 3 from Samsung Galaxy.I love the Kindle HD 8. It was easy to install and very easy to find my way. The only reason for which I removed 1 star, it is that I found that some applications are not available for Kindle. But so far from the information I read online, there are ways to solve this problem.",Yes
"I bought the Kindle Fire because I needed an entertainment apparatus only for long flights. This device is the perfect size for travel and easy to use and configure with your Amazon account. It is worth buying an Fire tablet if you are an Amazon Prime member. Share, I would not recommend it because the available applications are limited.MA only complaint about this device is that if it is difficultReset.",No
"If it is easy to use and navigate. Easy Amazon discounts from applications, etc.",No
"If easy to use and navigate. Easy Amazon Discounts Easy from applications, etc.I am in the older generation who has trouble navigating electronics, but not this tablet and Best Buy employees were excellent to help me decide by giving a tutorial and information on the tablet.",No
Good product but very difficult to personalize like real androids. I can't install Firefox or other SW that Amazon considers a competition ... too bad,No
My 5 year old grandson really likes his new tablet. He has had it for several months. The only negative I see is that the load port is starting to detach itself. The small plug may not be robust enough for a 5 year old child.,Yes
"Good to watch movies, read books and play games, but don't expect to do much more. The remains may be a challenge and it can be offset and from time to time, it will simply stop a program or completely restart.",No
"I bought this for my sister as a gift so that she does not need to use her laptop for basic internet browsing and watching movies on a trip. The speed of the device is decent although you cannot compare performance to a laptop. If you want to avoid carrying a bulky laptop during the trip and you want to make a budget to make a laptop, choose Amazon Fire Tablet.",No
It is a good tablet for a young child. A little difficult to navigate even for adults. I don't understand how to travel Internet!,No
I had my father an Amazon fire that he never used a tablet and even less a computer. It was therefore a challenge. He did good but has trouble seeing the screen.,No
This Kindle is very slow to recharge. The granddaughter has trouble waiting for her to charge.,No
"I think it depends on how you want to use it. I bought this for my young children and they love it. They can do basic things like surfing the internet, watch YouTube and play games. The only complaint that I have, it is sometimes not charged, even if you have connected it all night. You just have to restart the PAD so that it can be loaded.",Yes
"I bought this tablet to be almost exclusively an electronic reader. It is actually cheaper than most Kindles. For this limited use, it works well. I don't think I would like to use it as a table for general use (too slow!). Make a good e-Lise. To recommend it to a friend, I would do it, but I sit that they knew what I use.",No
needed a difficult small tablet for my grandson. I had it a few months and I resisted very well.,No
"It looked easy, but difficult to configure if no experience with Apple products",No
Good product to listen and read books. Fun also well when you don't want to transport an expensive and heavy laptop.,No
"We originally owned an original Kindle, but it was slow that App Store was not the best and the global interface had to be desired. In fact, in the end, the device crashed and could not be recovered with limited use. Deeply starts to get another and in fact bought a Samsung tablet, but it was too small.to try another test. This device is a large size and a much better interface. Look again and consider in the future for children.",No
"I obtained this tablet for black friday at a decent price. It is 8 inch, you can add more space with a micro SD and very easy to use.",No
"I bought this for my 83-year-old mother to use mainly as a reader. It seems that it could be easier for her to see a real book. She does not always find new technologies easy to use, but seems to apply well with this tablet. She also uses it to play solo and maybe other games.",Yes
"Large tablet to read books, but Bluetooth is difficult to work and there are much better tablets for games and movies",No
"My children really appreciate this tablet. We tried other brand tablets and they were not too suitable for children, even if they were children's tablets, and I found them a little advanced for the age of my children. So, this tablet was perfectly suited to age, and with a greater memory than the previous one, no complaints.",No
Beautiful tablet The colors and the visuals are great and the many downloadable and downloadable applications that accompany it are great. Something for all ages and very simple - my niece and my nephew have 5 and 4 and they find it very easy to use. The hard rubber blanket is an excellent supplement - I had to buy a blanket for the last tablet and it costs more than $ 30 for something robust and protection.,No
"So far, this tablet has been effective. It is a bit serious to use and it seems that it requires a lot of steps to install the profiles of children and it does not do everything I hoped.",No
Purchased for grandchildren to use during their visit.They Never Seem to be Bored. Do you have the protected password or you can find a quick execution at the expense!,Yes
"Young children love it, easy to use and take a blow but always cheap so that if it breaks, you do not also break the bank",Yes
"Easy operation, excellent product, not a fan of the shiny screen, difficult to see in the sun",No
"I bought the Black Friday for a value of $ 60 for money. It is late on heavy tasks and applications are also recharged when 2-3 applications are open at the same time. But at this price, it is planned. The long budget is <$ 100.",No
"This is a very solid device for less than $ 100.The quality of the screen is excellent and the performance is difficult to beat for the best use. I needed more energy to execute very intense applications, like Litchi to control a DJI Mavic.Donc, if you are looking for a power plant, you should look for something with a little more processor and at least 3 GB of RAM.",No
"This is my first Amazon E-Lise reader and the second e-Lise that I have. It is easy to use once you have crossed the initial hoops. I like free games and the fact that I cannot load books from my computer to the tablet. And one thing, I am not on the market for a tablet but for a greater electronic player. It is much better than the corner I have.",Yes
"I thought it would be too advanced for my 3 year old child, but she loves it. Facile so that she can navigate and learn patience. The games, the books and the applications are perfect for the age group. Parental controls kept her honest.",No
"I am a power user; there is no other way to say it. I work there and I am looking for the devil of the products before buying. I had an iPad mini 2 which was simply not up to it with iOS 10, so I sold it and bought it (and finally returned) the Fire HD 8 2016. Let me first say that it is an excellent tablet for the price and for probably 50% of the tablets andHelp if you are an Amazon heavy content user. For me, I was spoiled by the display of the retina on the iPad.The 720p display is good, but you can see the pixels.189ppi is low enough compared to today's standards. The other great thing for me was the lack of a laminated display.Aside, it strikes above its price. If you do not play really heavy games (which it even plays in search of Titan surprisingly well!) And that you do not mind having an absolutely beautiful screen, I think it works and works well. It was not for me. I bit the ball and I went with an iPad Air 2 from 128 GB because it is special at BB for this moment.",No
I bought 3 of these tables which gave them a small child again next year next year. They are difficult that the heavy rubber housing is really safe. Profit good!,No
"As this product is designed for children, most would already assume that it is durable, but I will go further and develop that my 2 -year -old friends have dropped him several times on concrete and that the case has done his job and kept the Kindle intact. I am very satisfied with this purchase, just like the child.",No
"This tablet is not a high -level top speed demon, but on the other hand, it is more than sufficient for daily use. The two greatest advantages for me are now delivered with integrated Alexa and, you can download Amazon films on the device to watch offline, for example in a plane. These two features alone are worth the very reasonable price.",Yes
"The product was purchased for 6 years. Very excited to use. It was difficult to navigate at the start.The battery life is not as planned (too short). Short load. Load port on the tablet site, easily worn out. Very positional when loading when it is connected.Will keep with Apple products for the moment.",No
"This is excellent for children 3-7.The only thing I don't like is that it is difficult to go to children's web pages by typing a web address once you have configured the profile of children, and this removes easy access to the camera that children like it. I may have misplaced it because it has not come with printed instructions and I am not warned in technology.",No
"I thought I had my own iPad, my own iPad or the Kindle. I am so happy to have chosen the Kindle, it comes with a children's version of its own connection and it is so easy for her to find games, movies and appropriate applications, even if she cannot read yet. She loves it too!",Yes
Excellent product for my 10 year old son. Very easy for him to find what he wants,Yes
It is really very comfortable and easy and strong for the toddler my baby really likes to use these children Amazon Fire,No
"I love the new fire - ideal for books, games and connect online! Easy to use functions and a perfect size screen!",Yes
We bought this Kindle for our 3 years because it was light and easy to use. Leave only one of the applications and other functions. The parental frame is therefore great but it has not become much further than that,No
"I bought this for my four -year -old nephew and he loves it! He dropped him several times, because of the difficult case of the shell, nothing has happened. He is able to manipulate all educational games and has no problem with operations.",No
I bought this for my great-grandson who was 3 years old. I had bought one for her 5 year old sister for Christmas and it became the object of litigation between them because he also wants to use it. They both appreciate it. It is entertaining and educational.,No
"inexpensive, but well constructed. Easy unavigal. Difficin well the films. The sound is decent, but requires headphones in general. The screen is good and clear. Taking a case for this model is a challenge - I found online, but costly by considering the price of the tablet. Universal cases do not work because of the placement of the button.",No
"Super tablet for my children, they like these Kidle Kid Kidle tablets and they are very strong, keep a lot. The price is also great.",No
"I bought this for my son who is a product of the Times and who very easily takes electronic and tactile devices. Mother bought him a subscription to the ABC mouse learning program and we needed a device adapted to children so that he could use it. At the beginning, I was skeptical of the idea of spending the additional 50 for children, because I thought it was mainly for the case that I thought I wasArrived by post, I was surprised to note that the speaker is a thick and heavy foam. It provides a good enclosure for children to children as well as a solid defender against any task. He started quickly and once you have entered your Amazon information, you have the possibility of configuring both an account for adults and the child's account.The children's user interface is extremely thin and easy to navigate. It is able to click on all applications, books, games it wishes to use. It also highlights your applications recently used in the carousel at the top.",No
"It is ideal for learning for small children. Easy bonfiguration. In about an hour, my 3 year old grandson cannot navigate the whole system. Well done for children in mind.",Yes
"It is an excellent tablet for the price. You do not wait until it is so quick more expensive. It is intended for occasional use and does a great job for this. For the price, you cannot beat it. Obly a large large microSD card and you do not have to worry about space. This works a little slowly on certain things if you are multitasking, but it is a simple tablet.fail.il.il.il.PDF more elaborate take a while to load if they have a lol of graphics. The battery life is also good for a small table.The only real problem I have is that the Amazon App Store is limited. It is an Android branch but not all the same available applications. There is a way to get around this, but I want them to allow it to access Google Play or at least offer the same applications.So, it's a nice cheap table that works very well. For money, you will love it but do not contact who does not work as fast as $ 500. This is not its work.",No
"i've had lots of tablets in the past, mostly from the samsung line, but this is my first amazon fire, so i want to write this review for others who have never tried one of these. at the time that this was written, alexa had not been added to the tablet.first, while this device runs an android type of operating system, amazon puts its own spin on the operating system. i don't feel like i'm using android. this feels different to me. it doesn't have the same level of customization that android users have come to appreciate. that being said, if you are an amazon prime member, this device has been tailored to be your content entertainment machine. it's simply a fun way to consume your magazines, books, etc.there are 3 on-screen buttons on the bottom of the device. the middle button immediately takes you to your home screen. the button to the left acts as a sort of ""back"" button. it also lets me get rid of my keyboard when i don't need it on screen, but it's open. the button to the right is super important. it took me a couple of days to realize what it does. that square shaped button is what you press you see what apps you have open. it lets you switch between apps, but it also lets you see which apps you have open and close them out. you can close them by pressing the ""x"" button in the corner of the window that appears or by touching the app window and swiping to the right. if you leave all of those apps open and you never close them, you'll drain your battery. make sure you use that little square button to clear your apps.the device has several menus that you swipe left to view. first, you start with your home screen. you literally can stay on this screen and do anything you need to do on the tablet. all of your apps are housed here. you swipe up to view all of them. the tablet comes with several apps pre-installed such as slik, amazon's own internet browser, audible, good reads, the amazon app store, a weather app, etc. you can go to the amazon app store to download other apps such as twitter, facebook, etc. you can combine the apps on this page into folders. you just drag one app to another app and a folder appears. this made my home screen much more manageable. you can change the size of the font on the home screen from normal to large or small in the device settings. this feature doesn't necessarily increase the size of the font within your apps, however. i believe it only changes the font on your main screens.if you have a magazine or newspaper subscription that is connected to your device, when you have a new issues, it will show up at the top of your home page screen under the heading of ""new items."" the device comes with a free 6 month subscription to the washington post. you'll see that under ""new items"" when you initially activate your tablet.you can change the wallpaper on the screen to use one of your own photos. you can do this through the settings menu on the device. if you want to use one of your own photos, however, you need to either take it on the device or move it into amazon's photos app, which is a cloud-based app.so far, i haven't found a way to effectively use a different photo management app that will let me change my wallpaper. i'm not crazy about the amazon photo app. i found it annoying to move my photos from my phone into amazon's cloud just so i could view them on my tablet. that being said, i'm not planning to take photos on this device. i just wanted a few pet photos on there and the ability to change my wallpaper.beyond the home screen, you can swipe to the right to view your other screen. they are pre-arranged to be: books, videos, games, shop, apps, music, audiobooks, and newstand. all of those screens are connected to your amazon account. for example, if you have kindle books you've already purchased, they automatically will appear under the books menu. your magazines and newspaper subscriptions will appear under the newstand menu. there doesn't seem to be a way to change the order of the menu pages. that bugs me, but it's not the end of the world. there's also one menu to the left of the ""home"" menu. it's the ""recent"" page. it shows you what you've received looked at on the tablet. i never use it, but it might be handy for some people.one of my favorite features of this tablet is amazon's ""on deck"" capability. if you're an amazon prime member, amazon will periodically download a video to your device that it thinks you might like. the items don't count against your pre-installed memory and they automatically deleted off if your memory starts getting full. you can turn off the ""on deck"" feature if you don't like it. i've been content with the video playback capability. this isn't my major use of the device, but the images look fine and the audio is ok. i'll talk more about the speakers later. my other favorite feature of this tablet is viewing magazine content through the newstand. i've tried 3 magazines on here and they all look gorgeous. now, i can always have my magazines with me so if i'm stuck at the airport or at the doctor's office, i always have them. one of my regular magazines includes a free digital version of the magazine for free. i just had to connect my account to the device. this allows me to download the back issues of the magazine for as long as i've had an account. my other magazine didn't include a digital edition so i canceled the print edition of it and switched to the digital version. (it was an inexpensive magazine, anyway.) there are several magazines that you can try free for 30 days on the device. i did this with a third magazine and decided to keep it for a year. viewing magazines on this gadget is a pleasure.the kindle fire doesn't come with the google play store installed. you can side load it to the device without rooting it (and breaking your warranty.) you can google to find the instructions to do this. it's not difficult to do if you're fairly comfortable with technology. it probably took me 10 minutes. most of the apps i wanted were in the amazon store, but there were a handful that i had paid for through google play. the only way i could have them was to go back to access that store. they have worked fine so far. i despise the keyboard that amazon pre-installed on this device. there are no lines between the letters on the keyboard. i suppose it designed to be better for swyping through keys, but i hate it. i fixed that problem by going to google play and downloading a new keyboard. it was a pretty easy problem to solve so i can't complain.apps that are connecting to the internet can be a little slow to load on this device compared to my other gadgets, but that generally doesn't bother me. if you were using this tablet to replace your personal laptop, however, that might drive you crazy. the screen on this device isn't bad. if i compare it to my fancy phone, it's not as shape, but when you think about the price of this device compared to my smartphone, the screen is outstanding.the speakers are ok. there are two of them located on the bottom of the screen. i won't say that they are fantastic. they aren't. in my opinion, they are fine for watching youtube or a television show. they are not ok for listening to music if you are an audiophile. you can make it a little better by downloading a different music app instead of relying on the pre-install app, but still your music will sound tinny. that being said, you can always connect your tablet to a bluetooth speaker, use a pair of headphones, etc.this device wasn't made for taking pictures. it has a front and back camera, but they aren't designed to be spectacular. i'm not using them.i find this device a little difficult to hold in my hands. i think that's partly because of the size and partly because it feels very slick. also, i do have some hand problems (similar to someone who has carpal tunnel syndrome). i think it will be easier to handle once my case arrives. i'm still waiting for it. i'm greatly enjoying this device. it's simply fun to use the tablet. there are weaknesses that come with that lower price tag, but you legitimately get a lot of bang for your buck, particularly if you regularly use amazon services. if you don't typically use amazon and you are just looking for a tablet for viewing the internet and you're looking for a low price tag, this device may be ok for you.",No
